	series	booktitle	year	title	abstract	authors	pdf1page	pdfarticle	abstract_prepro
10	Revue des Nouvelles Technologies de l'Information	EGC	2018	Big Data for understanding human dynamics: the power of networks		Fosca Giannotti	http://editions-rnti.fr/render_pdf.php?p1&p=1002363	http://editions-rnti.fr/render_pdf.php?p=1002363	
11	Revue des Nouvelles Technologies de l'Information	EGC	2018	Cartes Auto-Organisatrices Incrémentales appliquées au Clustering Collaboratif	Le Clustering Collaboratif (CC) vise à faire ressortir les structurescommunes présentes dans plusieurs vues indépendantes en se basant sur unepremière étape de clustering locale, effectuée dans notre cas à l'aide de CartesAuto-Organisatrices (SOM pour Self Organizing Maps en anglais). Pour faireface à la quantité toujours croissante de données disponibles, l'utilisation de méthodesde clustering incrémentales est devenue nécessaire. Ce papier présente unalgorithme de SOM incrémentales compatibles avec les contraintes du CC. Lesexpérimentations conduites sur plusieurs jeux de données démontrent la validitéde cette méthode et présentent l'influence de la taille du batch utilisé lors del'apprentissage.	Denis Maurel, Jérémie Sublime, Sylvain Lefebvre	http://editions-rnti.fr/render_pdf.php?p1&p=1002418	http://editions-rnti.fr/render_pdf.php?p=1002418	Clustering Collaboratif CC viser faire ressortir structurescommune présenter dan vue indépendant baser unepremière étape clustering local effectuer dan cas laid cartesautoorganisatrice SOM Self Organizing Maps anglais Pour faireface quantité croissant donnée disponible lutilisation méthodesde clustering incrémental devenir nécessaire papier présenter unalgorithm som incrémental compatible contrainte CC Lesexpérimentations conduire jeu donnée démontrer validitéde méthode présenter linfluence tailler batch utiliser delapprentissage
12	Revue des Nouvelles Technologies de l'Information	EGC	2018	Catégorisation d'articles scientifiques basée sur les relations sémantiques des mots-clés		Bastien Latard, Jonathan Weber, Germain Forestier, Michel Hassenforder	http://editions-rnti.fr/render_pdf.php?p1&p=1002406	http://editions-rnti.fr/render_pdf.php?p=1002406	
13	Revue des Nouvelles Technologies de l'Information	EGC	2018	Classification de Données Complexes par Globalisation de Mesures de Similarité via les Moyennes Quasi-Arithmétiques	La plupart des méthodes de classification sont conçues pour des types particuliers de données: données numériques, textuelles, catégoriques, fonctionnelles, probabilistes ou encore de type graphes. Cependant, les données générées dans notre quotidien sont en général composées de données de types mixtes. Par exemple, si nous considérons la prévention cardiaque dans le domaine de la santé, les applications vont combiner des données issues de capteurs avec d'autres données telles que l'âge, le niveau d'effort, la fréquence cardiaque maximale, des histogrammes de fréquences cardiaques moyennes lors de précédents efforts, etc. Ceci nous amène à la problématique de construire des classes en tenant compte de ces différentes données, et de définir une mesure de similarité à partir des similarités de paires d'objets sur les différents types de variables. Dans cet article nous proposons une méthode de classification basée sur la fusion des matrices de similarité à l'aide des moyennes quasi-arithmétiques qui permet de choisir les différentes “dimensions” des données à considérer, et ce quel que soit le type de données, pour autant qu'une mesure, de similarité ou de dissimilarité existe pour chacun des types de données, ce qui est très souvent le cas.	Étienne-Cuvelier, Marie-Aude-Aufaure	http://editions-rnti.fr/render_pdf.php?p1&p=1002368	http://editions-rnti.fr/render_pdf.php?p=1002368	méthode classification conçu type donnée donnée numérique textuel catégorique fonctionnel probabiliste typer graphe donnée générer dan quotidien général composer donnée type mixte Par exemple considérer prévention cardiaque dan domaine santé application aller combiner donnée issu capteur dautr donnée lâge niveau deffort fréquence cardiaque maximal histogramme fréquence cardiaque moyenne précédent effort amener problématique construire classe compter donnée définir mesurer similarité partir similarité paire dobjet type variable Dans article proposer méthode classification basé fusion matrice similarité laid moyen quasiarithmétique permettre choisir “ dimension ” donnée considérer typer donnée autant quune mesurer similarité dissimilarité exister type donnée cas
14	Revue des Nouvelles Technologies de l'Information	EGC	2018	Community structure in complex networks		Santo Fortunato	http://editions-rnti.fr/render_pdf.php?p1&p=1002362	http://editions-rnti.fr/render_pdf.php?p=1002362	
15	Revue des Nouvelles Technologies de l'Information	EGC	2018	Comparaison de mesures de centralité basées sur les plus courts chemins dans les réseaux dynamiques	Définir l'importance des noeuds dans les réseaux statiques est unequestion de recherche très étudiée depuis de nombreuses années. Dernièrement,des adaptations des métriques classiques ont été proposées pour les réseaux dynamiques.Ces méthodes reposent sur des approches très différentes dans leurfaçon d'évaluer l'importance des noeuds à un instant donné. Il est donc nécessairede pouvoir les évaluer et les comparer. Dans cet article, nous comparonstrois approches existes pour mieux comprendre ce qui les différencie. Nous montronsque la nature des jeux de données influe grandement sur le comportementdes méthodes, et que pour certains d'entre eux, la notion d'importance n'est pastoujours pertinente.	Marwan Ghanem, Clémence Magnien, Fabien Tarissan	http://editions-rnti.fr/render_pdf.php?p1&p=1002416	http://editions-rnti.fr/render_pdf.php?p=1002416	définir limportance noeud dan réseau statique unequestion rechercher étudier année dernièrementd adaptation métrique classique proposer réseau dynamiquesCes méthode reposer approche dan leurfaçon dévaluer limportance noeud instant donner nécessairede pouvoir évaluer comparer Dans article comparonstrois approch exist mieux comprendre différencier montronsque nature jeu donnée influ grandement comportementde méthode dentre notion dimportanc nest pastoujours pertinent
16	Revue des Nouvelles Technologies de l'Information	EGC	2018	Complémentarités de représentations vectorielles pour la similarité sémantique	La tâche de similarité sémantique textuelle consiste à exprimer automatiquementun nombre reflétant la similarité sémantique de deux fragmentsde texte. Chaque année depuis 2012, les campagnes de SemEval déroulent cettetâche de similarité sémantique textuelle. Cet article présente une méthode associantdifférentes représentations vectorielles de phrases dans l'objectif d'améliorerles résultats obtenus en similarité sémantique. Notre hypothèse est que différentesreprésentations permettraient de représenter différents aspects sémantiques,et par extension, d'améliorer les similarités calculées, la principale difficultéétant de sélectionner les représentations les plus complémentaires pourcette tâche. Notre système se base sur le système vainqueur de la campagne de2015 ainsi que sur notre méthode de sélection par complémentarité. Les résultatsobtenus viennent confirmer l'intérêt de cette méthode lorsqu'ils sont comparésaux résultats de la campagne de 2016.	Julien Hay, Tim Van de Cruys, Philippe Muller, Bich-Liên Doan, Fabrice Popineau, Lyes Benamsili	http://editions-rnti.fr/render_pdf.php?p1&p=1002378	http://editions-rnti.fr/render_pdf.php?p=1002378	tâcher similarité sémantique textuel consister exprimer automatiquementun nombre refléter similarité sémantique fragmentsde texte année 2012 campagne SemEval dérouler cettetâche similarité sémantique textuel article présenter méthode associantdifférent représentation vectoriel phrase dan lobjectif daméliorerl résultat obtenir similarité sémantique hypothèse différentesreprésentation permettre représenter aspect sémantiqueset extension daméliorer similarité calculer principal difficultééter sélectionner représentation plaire complémentaire pourcette tâch système baser système vainqueur campagne de2015 méthode sélection complémentarité résultatsobtenu venir confirmer lintérêt méthode lorsquils comparésaux résultat campagne 2016
17	Revue des Nouvelles Technologies de l'Information	EGC	2018	Contextualisation de Singularités en Temps-Réel par Extraction de Connaissances du Web des Données	L'émergence de l'IoT et du traitement en temps-réel oblige les entreprises à considérer la détection d'anomalies comme un élément clé de leur activité. Afin de garantir une haute précision dans le processus de détection, des métadonnées fournissant un contexte spatio-temporel sur les mesures des capteurs sont nécessaires. Dans cet article, nous présentons un système générique qui aide à capturer, analyser, qualifier et stocker les informations contextuelles d'un domaine d'application donné. L'approche proposée est basée sur des méthodes sémantiques qui exploitent des ontologies pour évaluer la pertinence de l'information contextuelle. Après une description des composants principaux de l'architecture, la performance et la pertinence du système sont démontrées par une évaluation sur des ensembles de données du monde réel.	Badre Belabbess, Jérémy Lhez, Musab Bairat, Olivier Curé	http://editions-rnti.fr/render_pdf.php?p1&p=1002369	http://editions-rnti.fr/render_pdf.php?p=1002369	lémergence liot traitement tempsréel obliger entreprise considérer détection danomalier élément cler activité Afin garantir précision dan processus détection métadonnée fournir contexte spatiotemporel mesure capteur nécessaire Dans article présenter système générique aider capturer analyser qualifier stocker information contextuel dun domaine dapplication donner Lapproche proposer baser méthode sémantique exploiter ontologie évaluer pertinence linformation contextuel Après description composant principal larchitecture performance pertinence système démontrer évaluation ensemble donnée monder réel
18	Revue des Nouvelles Technologies de l'Information	EGC	2018	Contraintes prescriptives compatibles avec OWL2-ER pour évaluer la complétude d'ontologies	L'article définit les contraintes prescriptives comme des règles permettant aux moteurs d'inférence de vérifier que certains objets formels sont réellement utilisés – pas seulement inférés – ou non, dans certaines conditions. Il montre que ces contraintes nécessitent de ne pas exploiter de mécanisme d'héritage (ou autres mécanismes ajoutant des relations à des objets) durant les tests des conclusions des règles. Il donne une méthode générale pour effectuer cela et des commandes SPARQL pour implémenter cette méthode lorsque les règles sont représentées via des relations sous-classe-de entre conditions et conclusions. L'article illustre ces commandes avec la vérification de patrons de conception d'ontologies. Plus généralement, l'approche peut être utilisée pour vérifier la complétude d'une ontologie, ou représenter dans une ontologie (plutôt que par des requêtes ou des procédures ad hoc) des contraintes permettant de calculer un degré de complétude d'ontologie. L'approche peut ainsi aider l'élicitation, la modélisation ou la validation de connaissances.	Philippe Martin, Jun Jo	http://editions-rnti.fr/render_pdf.php?p1&p=1002366	http://editions-rnti.fr/render_pdf.php?p=1002366	larticle définir contrainte prescriptiver règle permettre moteur dinférence vérifier objet formel réellement utiliser – inférer – dan condition montrer contrainte nécessiter exploiter mécanisme dhéritage mécanisme ajouter relation objet durer test conclusion règle donner méthode général effectuer celer commande sparql implémenter méthode règle représenter relation sousclassede entrer condition conclusion Larticle illustrer commande vérification patron conception dontologier plaire généralement lapproch pouvoir utiliser vérifier complétude dune ontologie représenter dan ontologie requête procédure ad hoc contrainte permettre calculer degré complétude dontologie Lapproche pouvoir aider lélicitation modélisation validation connaissance
19	Revue des Nouvelles Technologies de l'Information	EGC	2018	Contribution à l'étude de la distributivité d'un treillis de concepts	Nous nous intéressons aux treillis distributifs dans le cadre de l'analyse formelle de concepts (FCA). La motivation primitive vient de la phylogénie et des graphes médians pour représenter les dérivations biologiques et les arbres parcimonieux. La FCA propose des algorithmes efficaces de construction de treillis de concepts. Cependant, un treillis de concepts n'est pas en correspondance avec un graphe médian sauf s'il est distributif, d'où l'idée d'étudier la transformation d'un treillis de concepts en un treillis distributif. Pour ce faire, nous nous appuyons sur le théorème de représentation de Birkhoff qui nous permet de systématiser la transformation d'un contexte quelconque en un contexte de treillis de concepts distributif. Ainsi, nous pouvons bénéficier de l'algorithmique de FCA pour construire mais aussi visualiser les treillis de concepts distributifs, et enfin étudier les graphes médians associés.	Alain Gély, Miguel Couceiro, Yassine Namir, Amedeo Napoli	http://editions-rnti.fr/render_pdf.php?p1&p=1002373	http://editions-rnti.fr/render_pdf.php?p=1002373	intéresser treillis distributif dan cadrer lanalyse formel concept FCA motivation primitif venir phylogénie graphe médian représenter dérivation biologique arbre parcimonieux FCA proposer algorithme efficace construction treillis concept treillis concept nest correspondance graphe médian sil distributif doù lider détudier transformation dun treillis concept treillis distributif Pour faire appuyer théorème représentation Birkhoff permettre systématiser transformation dun contexte contexte treillis concept distributif pouvoir bénéficier lalgorithmique FCA construire visualiser treillis concept distributif étudier graphe médian associé
20	Revue des Nouvelles Technologies de l'Information	EGC	2018	Découverte de motifs graduels partiellement ordonnés : application aux données d'expériences scientifiques	Les données séquentielles sont aujourd'hui omniprésentes etconcernent divers domaines d'application. La fouille de données de séquencespermet d'extraire des informations et des connaissances pouvant être à forte valeurajoutée. Cependant, lorsque les données de séquences sont riches en donnéesnumériques, des méthodes de fouille de données plus fines sont nécessairespour extraire des connaissances plus expressives représentant la variabilité desvaleurs numériques ainsi que leur éventuelle interdépendance. Dans cet article,nous présentons une nouvelle méthode de découverte de séquences graduellesfréquentes représentées par des graphes à partir d'une source de données de séquencesen RDF (Resource Description Framework 1). Ces dernières sont transforméesen graphes graduels partiellement ordonnés, gpo. Nous proposons unalgorithme permettant de découvrir les sous-graphes gpo fréquents. Une expérimentationsur deux jeux de données réelles ont montré la faisabilité et la pertinencede notre approche.	Simon Ser, Fatiha Saïs, Maguelonne Teisseire	http://editions-rnti.fr/render_pdf.php?p1&p=1002382	http://editions-rnti.fr/render_pdf.php?p=1002382	donnée séquentiel aujourdhui omniprésente etconcernent domaine dapplication fouiller donnée séquencespermet dextraire information connaissance pouvoir fort valeurajouter donnée séquence richer donnéesnumérique méthode fouiller donnée plaire fin nécessairespour extraire connaissance plaire expressif représenter variabilité desvaleur numérique éventuel interdépendance Dans articlenou présenter méthode découvrir séquence graduellesfréquent représenter graphe partir dune source donnée séquencesen RDF Resource description Framework 1 dernière transforméesen graphe graduel partiellement ordonner gpo proposer unalgorithm permettre découvrir sousgraphe gpo fréquent expérimentationsur jeu donnée réel montrer faisabilité pertinencede approcher
21	Revue des Nouvelles Technologies de l'Information	EGC	2018	Définir les catégories de DBpédia avec des règles d'associations et des redescriptions	DBpédia, qui encode les connaissances de Wikipédia, est devenue unebase de référence pour le web des données. Les ressources peuvent y être répertoriéespar des catégories définies manuellement, dont la sémantique n'est pasdirectement accessible par des machines. Dans cet article, nous proposons deremédier à cette lacune au moyen de méthodes de fouille de données, à savoirla recherche de règles d'associations et de motifs apparentés. Nous présentonsune étude comparative de ces variantes sur une partie de DBpédia et discutonsle potentiel des différentes approches.	Justine Reynaud, Esther Galbrun, Mehwish Alam, Yannick Toussaint, Amedeo Napoli	http://editions-rnti.fr/render_pdf.php?p1&p=1002398	http://editions-rnti.fr/render_pdf.php?p=1002398	dbpédia encoder connaissance Wikipédia devenir unebase référence web donnée ressource pouvoir yu répertoriéespar catégorie définir manuellemer sémantique nest pasdirectement accessible machine Dans article proposer deremédier lacune moyen méthode fouiller donnée savoirla rechercher règle dassociation motif apparenté présentonsune étude comparatif variante partir dbpédia discutonsle potentiel approche
22	Revue des Nouvelles Technologies de l'Information	EGC	2018	Détection de Singularités en temps-réel par combinaison d'apprentissage automatique et web sémantique basés sur Spark		Badre Belabbess, Musab Bairat, Jérémy Lhez, Olivier Curé	http://editions-rnti.fr/render_pdf.php?p1&p=1002408	http://editions-rnti.fr/render_pdf.php?p=1002408	
23	Revue des Nouvelles Technologies de l'Information	EGC	2018	Echantillonnage de motifs séquentiels sous contrainte sur la norme	L'échantillonnage de motifs est une méthode non-exhaustive pour découvrir des motifs pertinents qui assure une bonne interactivité tout en offrant des garanties statistiques fortes grâce à sa nature aléatoire. Curieusement, une telle approche explorée pour les motifs ensemblistes et les sous-graphes ne l'a pas encore été pour les données séquentielles. Dans cet article, nous proposons la première méthode d'échantillonnage de motifs séquentiels. Outre le passage aux séquences, l'originalité de notre approche est d'introduire une contrainte sur la norme pour maîtriser la longueur des motifs tirés et éviter l'écueil de la « longue traîne ». Nous démontrons que notre méthode fondée sur une procédure aléatoire en deux étapes effectue un tirage exact. Malgré le recours à un échantillonnage avec rejet, les expérimentations montrent qu'elle reste performante.	Lamine Diop, Cheikh Talibouya Diop, Arnaud Giacometti, Dominique Li, Arnaud Soulet	http://editions-rnti.fr/render_pdf.php?p1&p=1002367	http://editions-rnti.fr/render_pdf.php?p=1002367	léchantillonnage motif méthode nonexhaustiv découvrir motif pertinent assurer interactivité offrir garantie statistique fort grâce nature aléatoire curieusement approcher explorer motif ensembliste sousgraphe donnée séquentiel Dans article proposer méthode déchantillonnage motif séquentiel Outre passage séquence loriginalité approcher dintroduir contraint norme maîtriser longueur motif tirer éviter lécueil « long traîner » démontrer méthode fonder procédure aléatoire étape effectuer tirage exact Malgré recours échantillonnage rejet expérimentation montrer rester performant
